CliendID,Firstname,Lastname,Gender,Country,Phone,DateOfBirth
1226931,Volodymyr,Bezdil,Male,Algeria,380991795507,14-01-2003
1264274,Annet,Jute,Female,Slovenia,380501233212,12-05-1992
1354857,Alina,Jacobs,Female,Albania,380991795520,03-05-2022
1448740,Max,Tiss,Male,Ukraine,380991795502,14-01-1999
1453488,Annet,Jacob,Female,Japan,380503229876,04-06-2003
1455628,Jack,Sparrow,Male,Dominica,380966441132,21-01-2001
1490853,Mia,Clark,Female,United States,380995556789,06-04-1995
1971070,Vlad,Koval,Male,Morocco,380995507133,26-01-2003
1972162,Lana,Rey,Female,Ukraine,380977116496,25-01-2009
2026077,Derec,Krab,Male,Ukraine,380991796600,17-11-2000
2054130,Vlad,Simon,Male,Ukraine,380991795520,12-05-1999
2098377,Anna,Lanko,Female,Israel,380995054322,11-05-2004
2196079,Olivia,Burn,Female,Poland,380667921113,11-01-1997
2230010,Vlad,Collins,Male,Afghanistan,380667923614,14-01-2001
2367354,Jack,Spick,Male,Ukraine,380951535261,11-05-2022
2489670,Volodymyr,Sich,Male,Ukraine,380991795501,15-05-2002
2508016,Derec,Ake,Male,Ireland,380991795522,14-12-2002
2521076,Jacob,Duke,Male,Ukraine,380991795527,15-05-2001
2768191,Faji,Drue,Male,Afghanistan,380668790023,24-09-2009
2782823,Volodymyr,Kadihra,Male,Ukraine,380991715507,12-12-2000
3831137,Annet,Clark,Female,Romania,380991795570,30-05-1985
3992752,Jack,Has,Male,Dominica,380951535263,14-01-1995
4553234,Maks,Tik,Male,Ukraine,380991695504,09-09-2003
4692119,Mia,Jacob,Female,Uruguay,380995552200,14-05-2008
5620874,Karen,Lia,Female,Ukraine,380991795501,24-11-2011
6597176,Julia,Roberts,Female,Italy,380671856608,16-05-1984
8735090,Derec,Ake,Male,Ireland,380991705507,24-04-1988
